"state","year","high_sch_grads","unemployment_percent","total_labor_force","total_checked_firearm","white","black","american_indian_alaskan_native","asian","native_hawaiian_pacific_islander","two_or_more_race","hispanic_latino","population","shootings_count_per_mil"
"Florida",2022,0.800186182645733,3.5,47.6324536275249,6.6295425232199,44.3795844093702,11.6236843062316,0.214688154632653,2.45058816606453,0.0544036695639251,1.05647502791998,20.9066262293928,22244823,2.78716535528289
"Georgia",2015,0.97973624208058,6.5,46.5233995129109,5.56738040996909,42.870702802898,22.7869445358518,0.179773793562886,2.9420957910425,0.0448084241015705,0.864626808085706,5.76824745248446,10183353,2.84778500755105
"Georgia",2016,0.995882791987383,5.7,46.1011470016517,5.94643691064081,42.5495045711078,23.0048536917606,0.181307708769182,3.06997895511271,0.044594517774849,0.894170040438701,5.89659426710651,10308442,2.61921248623216
"Georgia",2017,1.00623680586148,5.2,48.7037141388943,5.19970613507822,42.2791196455113,23.2487644512146,0.181904037724377,3.16566207780317,0.04563680380715,0.923727691700255,6.02344372403231,10417031,2.78390263022161
"Georgia",2018,1.00851865065547,4.3,48.7336289208432,5.22399162156661,42.038867466542,23.5005854427477,0.183812957197419,3.2457398428749,0.0466091709318859,0.954513612910408,6.17434149454878,10519389,4.18275243932894
"Georgia",2019,0.988236755294025,3.9,48.2672877920817,5.07256290447327,41.8154557481074,23.7361239440648,0.185490806377858,3.33462865143272,0.0476570424218246,0.987945073494404,6.31917327968897,10628020,3.48136341482233
"Georgia",2020,0.97373415491842,3.5,48.4932656888815,8.42543794737437,41.3996850648491,23.9295354967479,0.186787709924148,3.419989584176,0.0483418746321003,1.03028678558501,6.54441991055215,10729828,3.72792555481784
"Georgia",2021,0.976823477207931,4.8,47.999110866313,7.4796980986981,41.1747039241367,24.0574344025215,0.189098490558377,3.50703543714983,0.0497032405085303,1.07089070672687,6.7275310439006,10788029,4.72746226395943
"Georgia",2022,0.978110628215697,3.1,47.7466526697454,5.51098537177551,40.8035150403982,24.2688911703936,0.188831981596785,3.64462127123959,0.0509581525530025,1.11126526132983,6.93043703602973,10912876,4.49010874860119
"Hawaii",2015,0.767393371323522,3.8,46.934326728269,1.07449126808944,19.3949538966647,1.49634679996261,0.182642433339728,31.3039573464212,6.97245746483307,12.6266427453568,6.34884493945533,1422999,1.40548236506139
"Hawaii",2016,0.76493209740462,3,47.2886201478775,1.16741375268129,19.2380772420454,1.54008195201153,0.179720551338981,31.3243543042302,7.00189308446796,12.7093502976097,6.47959772829864,1428885,4.19907830231264
"Hawaii",2017,0.775724997773122,2.6,48.9064451805805,0.893696918772615,19.0404015253587,1.55551799282209,0.178360639180565,31.3350114991061,7.04822610770514,12.8663740046558,6.55880395269059,1425763,2.10413652198858
"Hawaii",2018,0.74344635872903,2.1,48.6464779053083,0.989950123041075,18.8829753594612,1.57571277392625,0.181785985825331,31.2987403573321,7.10946931421641,13.0075005164774,6.64885580935168,1423102,7.7295935217574
"Hawaii",2019,0.790469160047047,2.8,48.4448808468404,0.894734797243601,18.7175891750229,1.58404650982082,0.179215394016028,31.2958678736803,7.15787837794881,13.1604285063382,6.75381371347436,1415615,4.94484729251951
"Hawaii",2020,0.778061022312916,2.2,47.5249182829179,1.38534833219967,18.4725056390472,1.61311553137984,0.179526037477869,31.3059640548213,7.12845863285926,13.3013287683411,6.8667158726516,1451043,1.37831890578019
"Hawaii",2021,0.789826100055696,9.5,46.2670178847586,1.22357399419827,18.5003807473151,1.58324545970919,0.182841632611318,31.3822164054413,7.16696357125779,13.3969847023883,6.95088428736679,1447154,4.14606876669656
